# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "gene" "-g" "locus_tag" "-a" "../../00_genome/genomic.gff" "-o" "../../HVO_counts/2019_counts2.txt" "dpyrE2-4hmfe-2_S5_L002_R1_001.fastq.gz_sorted.bam" "dpyrE2-4hpfe-2_S2_L002_R1_001.fastq.gz_sorted.bam" "dpyrE2-4hpfe-4_S16_L003_R1_001.fastq.gz_sorted.bam" "dpyrE2-4hpfe-5_S12_L002_R1_001.fastq.gz_sorted.bam" "dtbsP-4hmfe-5_S46_L005_R1_001.fastq.gz_sorted.bam" "dtbsP-4hmfe-6_S52_L005_R1_001.fastq.gz_sorted.bam" "dtbsP-4hpfe-2_S38_L004_R1_001.fastq.gz_sorted.bam" "dtrmB-4hmfe-5_S30_L004_R1_001.fastq.gz_sorted.bam" "dtrmBdtbsP-4hmfe-5_S66_L006_R1_001.fastq.gz_sorted.bam" "HV35-ypc18_S15_L002_R1_001.fastq.gz_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	dpyrE2-4hmfe-2_S5_L002_R1_001.fastq.gz_sorted.bam	dpyrE2-4hpfe-2_S2_L002_R1_001.fastq.gz_sorted.bam	dpyrE2-4hpfe-4_S16_L003_R1_001.fastq.gz_sorted.bam	dpyrE2-4hpfe-5_S12_L002_R1_001.fastq.gz_sorted.bam	dtbsP-4hmfe-5_S46_L005_R1_001.fastq.gz_sorted.bam	dtbsP-4hmfe-6_S52_L005_R1_001.fastq.gz_sorted.bam	dtbsP-4hpfe-2_S38_L004_R1_001.fastq.gz_sorted.bam	dtrmB-4hmfe-5_S30_L004_R1_001.fastq.gz_sorted.bam	dtrmBdtbsP-4hmfe-5_S66_L006_R1_001.fastq.gz_sorted.bam	HV35-ypc18_S15_L002_R1_001.fastq.gz_sorted.bam
HVO_RS05065	NC_013967.1	77449	78192	-	744	849	1084	1150	1352	0	94	1565	740	287	126
HVO_RS05070	NC_013967.1	78189	79070	-	882	1890	1987	2112	2350	3	153	2560	1392	369	254
HVO_RS05075	NC_013967.1	79072	80145	-	1074	2271	2123	2206	2612	0	127	2803	1536	389	370
HVO_RS05080	NC_013967.1	80270	80659	+	390	324	458	458	593	0	26	478	470	107	33
HVO_RS05085	NC_013967.1	80783	80968	+	186	308	524	522	635	1	34	511	547	116	59
HVO_RS05090	NC_013967.1	81002	82339	-	1338	2846	2899	2948	3133	1	169	3057	3172	698	341
HVO_RS05095	NC_013967.1	82482	83189	-	708	621	671	703	799	0	44	742	863	195	85
HVO_RS21255	NC_013967.1	83382	83753	-	372	971	798	872	1036	0	35	1149	1170	378	93
HVO_RS05105	NC_013967.1	83757	85127	-	1371	859	432	479	575	0	37	262	300	49	68
HVO_RS05110	NC_013967.1	85507	85866	-	360	427	331	341	427	0	14	362	253	54	47
HVO_RS05115	NC_013967.1	85863	87281	-	1419	957	730	760	997	1	26	596	309	72	89
HVO_RS05120	NC_013967.1	87625	88608	-	984	1728	1387	1363	1412	3	121	1839	1513	298	184
HVO_RS20795	NC_013967.1	89307	89471	-	165	2457	1275	1317	1787	1	79	1772	4664	382	250
HVO_RS05130	NC_013967.1	89547	90341	-	795	1281	586	624	702	1	28	934	1159	261	89
HVO_RS05135	NC_013967.1	90474	90758	+	285	5104	321	312	688	0	17	216	1887	354	26
HVO_RS05140	NC_013967.1	90921	91928	-	1008	2639	2259	2408	2611	0	134	2575	3554	656	251
HVO_RS20800	NC_013967.1	92094	92270	+	177	96	100	113	191	0	1	45	168	35	8
HVO_RS05145	NC_013967.1	92298	92993	-	696	419	329	313	361	1	19	181	361	54	25
HVO_RS05150	NC_013967.1	93097	94029	-	933	251	137	118	136	0	10	132	221	54	11
HVO_RS05155	NC_013967.1	94154	95038	-	885	1484	887	976	1116	0	78	880	2653	342	93
HVO_RS05160	NC_013967.1	95156	95359	+	204	245	539	589	813	1	38	992	432	99	59
HVO_RS05165	NC_013967.1	95441	97351	+	1911	6787	5765	6319	7436	1	417	7220	5872	1729	733
HVO_RS05170	NC_013967.1	97756	97950	+	195	6461	1970	2079	5532	2	36	717	1295	983	112
HVO_RS05175	NC_013967.1	98087	99214	-	1128	3900	2341	2405	3325	1	160	2312	1531	734	286
HVO_RS05180	NC_013967.1	99292	99930	-	639	405	206	219	219	0	15	136	561	65	10
HVO_RS05185	NC_013967.1	100055	100936	+	882	2184	1485	1637	1926	1	122	1997	1521	435	217
HVO_RS05190	NC_013967.1	100943	101548	+	606	1819	1354	1450	1695	2	120	1758	726	420	184
HVO_RS05195	NC_013967.1	101807	102838	+	1032	4926	4516	4878	5649	3	574	3169	17544	707	614
HVO_RS05200	NC_013967.1	103089	104234	+	1146	501	582	588	1207	1	58	396	809	168	52
HVO_RS05205	NC_013967.1	104245	104658	+	414	384	315	326	546	1	30	351	356	60	37
HVO_RS05210	NC_013967.1	104705	105133	-	429	5369	3094	3375	3852	6	186	3677	7006	702	442
HVO_RS05215	NC_013967.1	105206	105793	-	588	335	235	267	260	0	12	240	755	71	18
HVO_RS05220	NC_013967.1	105867	107141	-	1275	7696	5259	5443	6176	3	457	4807	6670	902	735
HVO_RS05225	NC_013967.1	107327	108373	+	1047	1706	2062	2128	2281	1	115	1789	879	490	234
HVO_RS05230	NC_013967.1	108419	108721	-	303	1637	1320	1283	1455	0	102	2018	1012	331	155
HVO_RS05235	NC_013967.1	108722	109462	-	741	2350	1867	2024	2207	2	184	3200	1353	375	380
HVO_RS05240	NC_013967.1	109554	110171	+	618	122	332	309	330	0	24	544	176	43	56
HVO_RS05245	NC_013967.1	110198	110752	+	555	357	353	457	470	0	21	568	456	122	34
HVO_RS05250	NC_013967.1	110903	111055	+	153	595	899	958	2089	2	75	2956	619	158	217
HVO_RS05255	NC_013967.1	111059	111337	+	279	4288	9641	9996	10327	5	823	15217	2910	675	1906
HVO_RS05260	NC_013967.1	111341	112006	+	666	8555	19257	20519	22505	12	1715	31821	3881	2183	2477
HVO_RS05265	NC_013967.1	112088	112264	+	177	523	535	547	1238	0	51	1204	516	164	130
HVO_RS05270	NC_013967.1	112264	112734	+	471	4495	5163	5360	7118	7	339	6017	3498	1032	861
HVO_RS05275	NC_013967.1	112767	114137	+	1371	7054	8379	8777	11404	3	531	12055	5365	2063	1163
HVO_RS05280	NC_013967.1	114180	114797	-	618	552	779	795	905	1	58	911	607	160	87
HVO_RS05285	NC_013967.1	114831	115805	-	975	876	681	687	828	0	30	554	1122	191	63
HVO_RS05290	NC_013967.1	115896	117293	+	1398	5303	6208	6629	6700	3	510	6047	5114	1041	1074
HVO_RS05295	NC_013967.1	117403	117984	+	582	402	749	715	809	1	46	744	294	101	88
HVO_RS05300	NC_013967.1	117985	118545	+	561	223	159	151	182	0	23	214	92	35	22
HVO_RS05305	NC_013967.1	118620	119639	+	1020	1745	1720	1792	2074	4	139	2590	1184	314	197
HVO_RS05310	NC_013967.1	119674	120090	-	417	1083	953	1019	929	0	67	1528	912	220	165
HVO_RS05315	NC_013967.1	120093	120662	-	570	1195	915	980	1049	0	49	1610	1054	235	165
HVO_RS05320	NC_013967.1	120802	121179	+	378	310	220	204	277	0	20	186	392	97	27
HVO_RS05325	NC_013967.1	121223	121296	+	74	72	48	45	76	0	4	57	84	13	5
HVO_RS05330	NC_013967.1	121710	121985	+	276	349	287	307	458	0	13	294	394	113	21
HVO_RS05335	NC_013967.1	121969	122181	+	213	776	794	780	1036	0	30	622	778	198	74
HVO_RS05340	NC_013967.1	122368	122781	-	414	321	271	297	419	0	14	246	352	86	26
HVO_RS05345	NC_013967.1	123087	124739	-	1653	23526	39549	41860	53444	34	5721	44138	22803	11834	4183
HVO_RS05350	NC_013967.1	124992	125534	-	543	4675	3861	4100	4606	7	315	5020	5710	1232	625
HVO_RS05355	NC_013967.1	125628	126500	-	873	1988	1381	1440	1483	0	93	1060	2293	266	187
HVO_RS05360	NC_013967.1	126602	126892	-	291	1709	1819	1884	2300	1	112	3056	2046	523	371
HVO_RS05365	NC_013967.1	126998	127177	+	180	45	58	65	105	0	4	119	54	18	28
HVO_RS05370	NC_013967.1	127203	128030	-	828	346	674	634	704	1	55	719	293	103	70
HVO_RS05375	NC_013967.1	128123	129109	-	987	5635	6450	6804	7266	2	387	6844	6590	812	857
HVO_RS05380	NC_013967.1	129130	129504	+	375	562	839	920	984	0	45	1011	586	79	139
HVO_RS05385	NC_013967.1	129520	131589	-	2070	8632	3306	3426	4028	6	207	3787	8002	1274	570
HVO_RS05390	NC_013967.1	131765	132754	+	990	68	92	115	146	0	4	101	78	29	10
HVO_RS05395	NC_013967.1	132763	133107	+	345	246	321	353	364	0	10	333	338	114	24
HVO_RS05400	NC_013967.1	133150	134028	-	879	1511	1704	1880	1758	0	90	2055	2454	402	154
HVO_RS05405	NC_013967.1	134083	135030	-	948	290	510	469	510	0	37	725	394	101	46
HVO_RS05410	NC_013967.1	135168	136193	+	1026	1854	2970	3186	3159	4	215	3212	865	250	484
HVO_RS05415	NC_013967.1	136193	136798	+	606	714	1403	1458	1450	0	104	1724	484	226	171
HVO_RS05420	NC_013967.1	137039	137458	+	420	40	76	75	101	0	2	76	38	8	15
HVO_RS05425	NC_013967.1	137455	139161	+	1707	160	279	312	335	0	15	303	214	45	64
HVO_RS05430	NC_013967.1	139158	139553	+	396	29	69	72	98	0	4	62	49	5	12
HVO_RS05435	NC_013967.1	139550	140173	+	624	90	135	126	142	0	10	116	123	17	23
HVO_RS05440	NC_013967.1	140173	141072	+	900	133	153	150	232	0	13	179	175	58	17
HVO_RS05445	NC_013967.1	141072	141731	+	660	180	162	198	238	0	16	199	201	51	36
HVO_RS05450	NC_013967.1	141728	142417	+	690	117	98	83	123	1	9	93	109	18	14
HVO_RS05455	NC_013967.1	142507	142956	+	450	623	458	463	790	1	89	263	630	152	47
HVO_RS05460	NC_013967.1	142995	143201	-	207	330	278	300	470	0	37	307	352	110	29
HVO_RS05465	NC_013967.1	143303	144259	-	957	1275	1966	2014	2610	0	165	3612	1980	402	273
HVO_RS05470	NC_013967.1	144416	144727	+	312	102	82	73	84	0	5	152	132	13	16
HVO_RS05475	NC_013967.1	144786	145355	+	570	2311	2859	3050	3139	2	133	4189	2731	610	497
HVO_RS05480	NC_013967.1	145435	145812	+	378	565	867	869	774	1	50	1198	713	121	137
HVO_RS05485	NC_013967.1	145831	146799	+	969	926	585	554	693	1	46	646	1127	244	60
HVO_RS05490	NC_013967.1	146821	147666	-	846	2547	2173	2366	2413	1	167	3016	2876	538	262
HVO_RS05495	NC_013967.1	147744	148844	+	1101	1267	2272	2325	3403	0	129	2568	1710	686	223
HVO_RS05500	NC_013967.1	148866	149378	-	513	1368	1744	1788	2990	2	117	2267	2515	366	249
HVO_RS05505	NC_013967.1	149375	149722	-	348	396	514	498	1239	0	36	727	896	289	57
HVO_RS05510	NC_013967.1	149886	151178	+	1293	1421	1869	1992	2363	1	111	2374	2123	459	231
HVO_RS05515	NC_013967.1	151249	151560	-	312	1053	1031	1049	1416	0	37	838	1531	293	103
HVO_RS05520	NC_013967.1	151659	152945	+	1287	4426	6662	6740	8780	3	455	9214	3388	1086	805
HVO_RS05525	NC_013967.1	153018	153350	-	333	485	1104	1243	1450	2	97	1795	391	124	141
HVO_RS05530	NC_013967.1	153435	154259	+	825	334	511	464	699	0	40	612	233	95	47
HVO_RS05535	NC_013967.1	154332	154754	+	423	803	674	636	717	1	51	544	769	188	59
HVO_RS05540	NC_013967.1	154782	155429	-	648	2905	1441	1544	1656	2	137	1339	2028	533	168
HVO_RS05545	NC_013967.1	155649	155852	+	204	405	713	796	934	1	38	1056	507	70	60
HVO_RS05550	NC_013967.1	155952	157052	-	1101	1293	1801	1821	2124	3	151	2876	2003	358	279
HVO_RS05555	NC_013967.1	157202	157795	+	594	2342	3726	3910	4494	3	284	5519	3013	797	566
HVO_RS05560	NC_013967.1	157928	158671	-	744	6868	9843	10713	11506	4	831	14394	4825	1106	1591
HVO_RS05565	NC_013967.1	158945	159406	+	462	300	791	759	728	0	44	1106	279	73	121
HVO_RS05570	NC_013967.1	159403	161649	-	2247	310	847	873	974	0	46	1145	552	199	70
HVO_RS05575	NC_013967.1	162031	162816	+	786	1616	1009	1058	963	1	71	1240	2970	154	141
HVO_RS05580	NC_013967.1	162982	163761	+	780	1460	1647	1835	1879	1	200	2940	2194	267	260
HVO_RS05585	NC_013967.1	163911	164312	+	402	239	233	256	269	0	17	349	428	116	28
HVO_RS20805	NC_013967.1	164385	164561	-	177	64	94	120	138	0	10	160	94	25	21
HVO_RS05590	NC_013967.1	164618	165337	-	720	310	551	611	688	1	51	979	205	110	96
HVO_RS05595	NC_013967.1	165330	165506	-	177	76	116	115	171	1	9	249	45	15	31
HVO_RS05600	NC_013967.1	165626	167782	-	2157	4443	4883	5358	5326	2	502	7602	2768	855	877
HVO_RS05605	NC_013967.1	167913	169238	+	1326	3911	5860	6216	5852	6	782	6381	2442	763	935
HVO_RS05610	NC_013967.1	169351	169671	+	321	302	602	569	769	1	65	397	463	94	64
HVO_RS05615	NC_013967.1	169702	170184	-	483	410	719	763	960	1	88	498	535	131	70
HVO_RS05620	NC_013967.1	170259	170897	+	639	1255	881	926	1033	2	88	1434	1413	266	116
HVO_RS05625	NC_013967.1	170943	171839	-	897	1918	1458	1530	1680	3	164	1889	1486	418	192
HVO_RS05630	NC_013967.1	172017	174011	+	1995	4851	3632	3851	3832	0	166	4480	6427	1263	479
HVO_RS05635	NC_013967.1	174066	174335	+	270	1127	1294	1332	1311	3	34	1613	723	283	306
HVO_RS05640	NC_013967.1	174329	174736	-	408	862	989	1020	1043	1	22	1296	597	394	171
HVO_RS05645	NC_013967.1	174892	176016	+	1125	12748	9551	9930	11249	8	529	9459	17598	3030	1011
HVO_RS05650	NC_013967.1	176077	176769	+	693	1109	908	1002	1071	1	78	1417	1324	350	80
HVO_RS05655	NC_013967.1	176934	177101	-	168	7969	15600	16083	24766	7	1243	46303	6753	2439	3772
HVO_RS05660	NC_013967.1	177286	178047	+	762	493	699	670	951	2	89	1724	620	197	91
HVO_RS05665	NC_013967.1	178439	178678	+	240	454	344	390	569	2	83	463	667	135	46
HVO_RS05670	NC_013967.1	178741	180114	+	1374	5341	3163	3220	3289	6	174	3661	6082	1265	292
HVO_RS05675	NC_013967.1	180124	180504	-	381	373	311	283	385	0	22	366	395	102	44
HVO_RS05680	NC_013967.1	180588	180998	-	411	277	269	317	425	1	23	385	206	84	26
HVO_RS05685	NC_013967.1	181007	181207	-	201	102	119	102	182	0	7	244	101	61	21
HVO_RS05690	NC_013967.1	181313	182296	+	984	2919	4072	4409	4638	3	387	6611	4275	526	688
HVO_RS05695	NC_013967.1	182364	184703	-	2340	1920	2573	2773	4474	3	134	1390	2104	513	167
HVO_RS05700	NC_013967.1	184851	185336	-	486	196	103	115	101	0	2	71	177	32	5
HVO_RS05705	NC_013967.1	185459	188227	+	2769	9342	11385	11910	12933	8	602	17558	7319	2077	1851
HVO_RS05710	NC_013967.1	188332	189108	+	777	773	849	888	1108	0	79	1543	816	269	142
HVO_RS05715	NC_013967.1	189223	189936	+	714	1681	1241	1262	1139	3	105	1476	3238	434	206
HVO_RS05720	NC_013967.1	190112	191275	+	1164	5832	3976	4070	7079	2	59	805	2319	1883	149
HVO_RS05725	NC_013967.1	191384	191674	+	291	821	719	808	909	1	7	186	932	183	36
HVO_RS05730	NC_013967.1	191877	192200	+	324	127	388	403	381	0	22	553	140	31	62
HVO_RS05735	NC_013967.1	192245	192619	+	375	632	931	1043	1256	0	60	1509	1801	270	146
HVO_RS05740	NC_013967.1	192742	193194	+	453	4180	6677	7164	7736	8	397	5128	7143	1252	1018
HVO_RS05745	NC_013967.1	193386	194348	+	963	14628	6445	6332	9217	9	549	12583	8982	1762	1162
HVO_RS05750	NC_013967.1	194367	196481	-	2115	9031	4832	5198	6524	2	270	5458	3587	1315	526
HVO_RS05755	NC_013967.1	196563	197267	-	705	528	150	193	199	0	6	208	142	49	15
HVO_RS05760	NC_013967.1	197261	197962	-	702	1531	311	302	394	0	30	462	304	68	30
HVO_RS05765	NC_013967.1	197963	198541	-	579	795	271	276	295	1	8	348	381	59	25
HVO_RS05770	NC_013967.1	198709	199314	+	606	1398	875	940	1180	0	47	1006	1896	304	117
HVO_RS05775	NC_013967.1	199368	201476	+	2109	4982	5813	6044	6251	0	220	3148	5634	820	727
HVO_RS05780	NC_013967.1	201577	201879	+	303	901	1382	1523	1929	1	77	1601	1063	391	127
HVO_RS05785	NC_013967.1	202030	202368	+	339	251	370	418	455	0	22	581	396	50	52
HVO_RS05790	NC_013967.1	202365	203306	+	942	777	1078	1105	1145	0	50	1627	1217	231	112
HVO_RS05795	NC_013967.1	203358	204212	+	855	203	447	470	398	1	29	646	480	99	50
HVO_RS05800	NC_013967.1	204209	204871	+	663	24	57	58	63	0	6	88	82	19	3
HVO_RS05805	NC_013967.1	204965	205831	-	867	48	62	81	85	0	7	91	87	34	7
HVO_RS05810	NC_013967.1	205994	206515	+	522	1790	16610	17208	29948	28	3234	42891	44185	36305	2903
HVO_RS05815	NC_013967.1	206630	207373	-	744	1355	4220	4321	5127	1	308	3567	3241	683	315
HVO_RS05820	NC_013967.1	207442	208257	-	816	2434	5544	5994	6203	2	287	2522	5418	734	317
HVO_RS05825	NC_013967.1	208346	208762	-	417	636	551	657	714	0	19	754	643	155	69
HVO_RS05830	NC_013967.1	209051	209686	-	636	2008	2320	2346	2361	2	135	3908	3981	584	359
HVO_RS05835	NC_013967.1	209687	209917	-	231	365	412	407	549	0	31	889	578	110	67
HVO_RS05840	NC_013967.1	209972	210823	-	852	1117	1697	1798	1801	2	144	2665	1037	208	310
HVO_RS05845	NC_013967.1	210884	211711	-	828	562	634	692	883	0	31	767	797	233	62
HVO_RS05850	NC_013967.1	211808	212152	-	345	227	370	414	445	0	46	624	359	65	42
HVO_RS05855	NC_013967.1	212299	213429	+	1131	561	604	649	664	0	38	841	455	77	113
HVO_RS05860	NC_013967.1	213507	214844	+	1338	4442	4298	4391	5163	3	237	3852	6627	1122	415
HVO_RS05865	NC_013967.1	214846	215811	+	966	1553	1401	1527	1790	3	89	1436	1433	334	146
HVO_RS05870	NC_013967.1	215944	217314	-	1371	22290	18113	19392	23601	11	1704	17222	10337	1219	2154
HVO_RS05875	NC_013967.1	217441	217899	+	459	2053	3012	3420	3843	1	238	5303	1041	252	478
HVO_RS20810	NC_013967.1	217905	218057	-	153	122	237	218	274	0	24	312	57	21	39
HVO_RS05880	NC_013967.1	218337	219419	-	1083	3091	4056	4113	5616	0	77	3053	2239	600	394
