# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "gene" "-g" "locus_tag" "-a" "../00_genome/genomic.gff" "-o" "../HVO_counts/2019_counts.txt" "dpyrE2-4hmfe-2_S5_sorted.bam" "dpyrE2-4hmfe-4_S9_sorted.bam" "dpyrE2-4hmfe-5_S18_sorted.bam" "dpyrE2-4hpfe-2_S2_sorted.bam" "dpyrE2-4hpfe-4_S16_sorted.bam" "dpyrE2-4hpfe-5_S12_sorted.bam" "dtbsP-4hmfe-2_S40_sorted.bam" "dtbsP-4hmfe-5_S46_sorted.bam" "dtbsP-4hmfe-6_S52_sorted.bam" "dtbsP-4hpfe-2_S38_sorted.bam" "dtbsP-4hpfe-5_S43_sorted.bam" "dtbsP-4hpfe-6_S49_sorted.bam" "dtrmB-4hmfe-1_S24_sorted.bam" "dtrmB-4hmfe-5_S30_sorted.bam" "dtrmB-4hmfe-6_S36_sorted.bam" "dtrmB-4hpfe-1_S21_sorted.bam" "dtrmB-4hpfe-5_S27_sorted.bam" "dtrmB-4hpfe-6_S33_sorted.bam" "dtrmBdtbsP-4hmfe-2_S56_sorted.bam" "dtrmBdtbsP-4hmfe-5_S66_sorted.bam" "dtrmBdtbsP-4hmfe-6_S72_sorted.bam" "dtrmBdtbsP-4hpfe-2_S54_sorted.bam" "dtrmBdtbsP-4hpfe-5_S65_sorted.bam" "dtrmBdtbsP-4hpfe-6_S69_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	dpyrE2-4hmfe-2_S5_sorted.bam	dpyrE2-4hmfe-4_S9_sorted.bam	dpyrE2-4hmfe-5_S18_sorted.bam	dpyrE2-4hpfe-2_S2_sorted.bam	dpyrE2-4hpfe-4_S16_sorted.bam	dpyrE2-4hpfe-5_S12_sorted.bam	dtbsP-4hmfe-2_S40_sorted.bam	dtbsP-4hmfe-5_S46_sorted.bam	dtbsP-4hmfe-6_S52_sorted.bam	dtbsP-4hpfe-2_S38_sorted.bam	dtbsP-4hpfe-5_S43_sorted.bam	dtbsP-4hpfe-6_S49_sorted.bam	dtrmB-4hmfe-1_S24_sorted.bam	dtrmB-4hmfe-5_S30_sorted.bam	dtrmB-4hmfe-6_S36_sorted.bam	dtrmB-4hpfe-1_S21_sorted.bam	dtrmB-4hpfe-5_S27_sorted.bam	dtrmB-4hpfe-6_S33_sorted.bam	dtrmBdtbsP-4hmfe-2_S56_sorted.bam	dtrmBdtbsP-4hmfe-5_S66_sorted.bam	dtrmBdtbsP-4hmfe-6_S72_sorted.bam	dtrmBdtbsP-4hpfe-2_S54_sorted.bam	dtrmBdtbsP-4hpfe-5_S65_sorted.bam	dtrmBdtbsP-4hpfe-6_S69_sorted.bam
HVO_RS04900	NC_013967.1	40093	40992	-	900	17305	822	20589	4502	4434	1987	5372	9	190	30560	31023	37891	837	1173	1679	3801	8587	6949	3948	4899	28531	2330	67395	12516
HVO_RS04905	NC_013967.1	41076	42221	-	1146	26466	999	31250	6409	6647	3094	7294	17	291	45753	44628	56848	1297	1703	2025	4353	12814	10193	5088	8997	31010	2856	87992	16537
HVO_RS04910	NC_013967.1	42218	43354	-	1137	24178	977	30085	5959	6435	2918	7782	25	241	48842	48658	59013	1298	1703	2266	4651	11890	10714	4966	7560	34632	1965	85718	17364
HVO_RS04915	NC_013967.1	43351	44334	-	984	24775	1052	30318	5765	6118	2908	9841	7	217	55732	56456	66377	1393	1889	2389	4892	12767	11259	6321	8437	36973	4332	81420	20593
HVO_RS04920	NC_013967.1	44389	45432	-	1044	62739	2274	75775	12423	12947	6213	17726	30	547	125166	124689	147944	3822	4261	4226	11949	26280	22314	12202	22678	98280	5388	172878	37032
HVO_RS04925	NC_013967.1	45429	46304	-	876	57618	2225	69454	9694	10212	5196	15730	30	456	110991	110248	130693	3986	4679	5206	12632	22074	17724	11536	15164	74627	4402	158702	35147
HVO_RS04930	NC_013967.1	46306	46485	-	180	6173	443	7548	1036	1119	781	2981	2	44	16120	17738	14914	679	666	1030	1131	2901	2873	2165	1889	9889	964	15359	7483
HVO_RS04935	NC_013967.1	46806	48272	-	1467	13211	2436	15784	10124	10561	9213	4679	8	611	24893	23717	29477	12821	9909	9340	10304	20434	18080	2992	3661	12670	753	34017	7231
HVO_RS04940	NC_013967.1	48274	49491	-	1218	20373	3175	25119	11644	12032	10471	5256	16	560	26347	26693	31982	18131	13859	14854	13158	23926	19813	4540	3511	17221	1355	40935	9357
HVO_RS04945	NC_013967.1	49976	51190	-	1215	850	111	1080	534	525	633	106	2	20	514	526	861	1178	802	556	647	861	687	140	252	612	30	1824	129
HVO_RS04950	NC_013967.1	51190	51675	-	486	305	88	347	253	242	295	70	0	15	347	300	452	831	572	378	331	462	450	91	86	310	21	797	94
HVO_RS04955	NC_013967.1	51719	52321	-	603	606	323	738	1653	1748	2206	303	1	70	2281	2218	3022	959	757	514	1784	3333	2540	140	323	770	28	2390	498
HVO_RS04960	NC_013967.1	52328	54112	-	1785	4607	1927	5537	9335	9746	10010	1891	3	512	11712	11689	13747	6534	5034	3692	9471	16330	13026	940	1410	5370	192	13442	3035
HVO_RS04965	NC_013967.1	54105	54959	-	855	2528	1080	3104	4263	4571	4761	1033	2	214	6270	5981	6630	3216	2340	1835	4777	8846	6912	535	745	2979	162	6670	1821
HVO_RS04970	NC_013967.1	55092	55670	-	579	896	339	1028	1534	1487	2127	378	2	69	1824	1655	1872	975	827	667	2174	2500	1837	182	319	976	49	2757	471
HVO_RS04975	NC_013967.1	55732	56178	-	447	589	425	713	1583	1701	2648	345	0	42	1447	1422	1696	214	160	182	1194	2595	1787	71	145	695	37	2410	472
HVO_RS04980	NC_013967.1	56181	57515	-	1335	2721	2276	3348	7106	7502	10538	1994	3	192	5893	5990	6991	704	587	671	3856	10191	8114	495	517	3687	298	9805	2628
HVO_RS04985	NC_013967.1	57512	58591	-	1080	2095	1584	2528	5193	5358	7247	1480	0	131	4489	4433	5492	567	474	494	2583	7823	6028	379	463	2274	184	6885	1962
HVO_RS04990	NC_013967.1	58588	60027	-	1440	2994	1798	3535	7259	7561	9727	1756	2	170	5515	6062	7843	716	658	681	4197	10187	7902	456	500	2691	210	9394	2502
HVO_RS04995	NC_013967.1	60034	61083	-	1050	2529	1472	2950	5538	5665	7392	1301	2	171	4448	4642	6325	580	490	560	5257	8176	6268	392	379	1962	260	7355	1915
HVO_RS05000	NC_013967.1	61296	63134	-	1839	95720	77396	115437	162427	171686	246793	52783	36	3370	106414	112065	159084	23341	23612	20494	84918	207036	145706	16971	13883	99202	3552	134868	42387
HVO_RS20790	NC_013967.1	63370	63537	+	168	181	90	222	349	373	561	95	0	24	484	493	437	551	690	429	773	466	495	44	67	233	11	585	87
HVO_RS05005	NC_013967.1	63622	64041	+	420	860	340	1095	962	927	1195	247	0	67	901	781	1245	2104	1478	978	1339	1626	1330	161	203	1115	44	1899	292
HVO_RS05010	NC_013967.1	64044	67652	+	3609	9541	3382	11609	10653	11283	11599	2613	3	489	8783	8712	13557	10469	7609	6385	10202	16449	13250	2159	1953	9957	519	18623	3342
HVO_RS05015	NC_013967.1	67810	69072	-	1263	282	160	322	159	165	217	58	0	28	151	133	260	214	175	232	545	242	210	94	61	233	9	914	39
HVO_RS05020	NC_013967.1	69249	69536	+	288	723	415	829	754	791	888	187	0	17	565	601	734	1249	497	1100	1039	671	626	213	257	1921	153	1941	345
HVO_RS05025	NC_013967.1	69607	70503	+	897	476	83	651	330	355	394	62	0	24	470	462	580	509	362	329	642	679	558	94	78	250	26	1447	111
HVO_RS05030	NC_013967.1	70535	72082	-	1548	2771	896	3170	3190	3483	3739	877	3	192	5196	5375	5539	2641	2336	2096	5268	6879	5750	626	474	2511	224	8788	1667
HVO_RS05035	NC_013967.1	72161	72538	-	378	8367	3739	10362	8166	8555	11090	2411	8	420	9083	9005	11614	9380	8647	7374	18106	13547	12787	2095	1733	9775	696	21347	3040
HVO_RS05040	NC_013967.1	72583	72900	-	318	511	235	593	729	657	993	238	1	44	1122	1150	1212	506	440	401	1501	1385	1286	151	100	852	42	1667	370
HVO_RS05045	NC_013967.1	73059	73280	-	222	134	66	142	78	75	216	42	0	1	64	62	82	630	678	476	123	97	85	17	38	156	8	178	19
HVO_RS05050	NC_013967.1	73836	74666	+	831	264	136	300	287	312	375	91	1	8	193	204	306	216	192	189	235	329	283	64	24	206	16	570	59
HVO_RS05055	NC_013967.1	74663	76093	-	1431	1274	323	1463	1349	1443	1505	351	0	70	1555	1537	1813	1631	1303	982	1606	2306	1869	315	164	834	79	2549	412
HVO_RS05060	NC_013967.1	76230	77447	-	1218	647	232	889	961	1008	1307	209	0	84	1540	1313	1625	632	473	383	1710	1923	1461	205	211	614	44	3266	312
HVO_RS05065	NC_013967.1	77449	78192	-	744	850	205	1002	1084	1150	1353	212	0	94	1566	1337	1703	1087	740	567	1583	1979	1568	209	287	669	31	3236	293
HVO_RS05070	NC_013967.1	78189	79070	-	882	1890	518	2185	1986	2112	2351	435	3	153	2561	2425	3164	1906	1392	1220	2752	3820	2946	408	369	1218	83	5915	683
HVO_RS05075	NC_013967.1	79072	80145	-	1074	2275	756	2648	2124	2207	2613	607	0	127	2803	2724	3063	2280	1536	1472	2986	3949	3200	714	391	1639	197	7132	1022
HVO_RS05080	NC_013967.1	80270	80659	+	390	323	127	397	458	457	594	102	0	26	478	391	653	612	471	349	711	785	643	69	107	341	18	1004	119
HVO_RS05085	NC_013967.1	80783	80968	+	186	309	184	374	524	522	635	164	1	34	510	483	766	753	547	418	720	886	715	60	116	451	27	953	193
HVO_RS05090	NC_013967.1	81002	82339	-	1338	2846	984	3397	2899	2948	3134	589	1	169	3058	3044	4324	4283	3176	2665	3211	4571	3589	741	698	3309	168	5857	964
HVO_RS05095	NC_013967.1	82482	83189	-	708	621	205	740	671	703	801	171	0	44	742	661	889	1111	863	665	1152	1077	927	162	195	928	54	1477	234
HVO_RS21255	NC_013967.1	83382	83753	-	372	974	295	1255	801	870	1038	272	0	35	1148	1057	1251	1448	1176	875	914	1462	1382	121	378	1040	24	1265	244
HVO_RS05105	NC_013967.1	83757	85127	-	1371	859	357	1046	432	479	575	149	0	37	262	268	380	437	300	454	440	463	401	88	49	211	25	749	144
HVO_RS05110	NC_013967.1	85507	85866	-	360	424	114	566	328	343	426	80	0	14	363	329	327	336	248	251	312	537	443	60	54	260	16	473	102
HVO_RS05115	NC_013967.1	85863	87281	-	1419	959	233	1154	730	760	998	185	1	26	596	591	658	459	309	350	741	1058	770	111	72	236	24	1127	223
HVO_RS05120	NC_013967.1	87625	88608	-	984	1728	461	2024	1387	1363	1413	345	3	121	1839	1929	2318	1812	1514	1536	2768	2314	2021	542	299	1333	87	6571	546
HVO_RS20795	NC_013967.1	89307	89471	-	165	2458	764	2839	1275	1317	1790	519	1	79	1772	1999	2065	5826	4671	4206	2966	2110	2411	921	382	3701	334	4630	767
HVO_RS05130	NC_013967.1	89547	90341	-	795	1281	219	1443	586	624	702	118	1	28	934	894	1173	1724	1159	987	985	1162	1002	229	261	793	50	3116	226
HVO_RS05135	NC_013967.1	90474	90758	+	285	5106	424	6550	321	312	688	114	0	17	216	209	245	1979	1889	1873	371	364	251	1312	354	1378	19	531	58
HVO_RS05140	NC_013967.1	90921	91928	-	1008	2641	705	3007	2259	2408	2613	502	0	134	2577	2379	3246	4658	3559	2599	3440	3636	2951	649	656	2404	100	5531	758
HVO_RS20800	NC_013967.1	92094	92270	+	177	96	76	105	100	113	192	41	0	1	45	52	66	214	168	184	92	72	55	9	35	120	4	250	11
HVO_RS05145	NC_013967.1	92298	92993	-	696	419	102	481	329	313	361	77	1	19	181	198	318	524	361	301	490	387	346	92	54	271	24	1361	72
HVO_RS05150	NC_013967.1	93097	94029	-	933	251	47	330	137	118	137	34	0	10	132	121	198	332	221	199	187	175	165	59	54	133	14	1072	32
HVO_RS05155	NC_013967.1	94154	95038	-	885	1484	286	1786	888	976	1116	256	0	78	880	882	1534	3493	2656	2009	1136	1422	1219	359	342	1047	76	4049	294
HVO_RS05160	NC_013967.1	95156	95359	+	204	245	83	258	539	589	816	146	1	38	992	862	1191	551	432	335	1413	1214	1236	29	100	316	18	1210	131
HVO_RS05165	NC_013967.1	95441	97351	+	1911	6791	2143	8136	5766	6321	7440	1746	1	417	7222	7150	8268	7405	5876	4885	9143	9418	8364	1612	1729	8679	400	15776	1958
HVO_RS05170	NC_013967.1	97756	97950	+	195	6465	1137	7980	1971	2079	5536	932	2	36	717	644	1706	1192	1297	904	1822	3222	2388	999	984	3435	116	5081	381
HVO_RS05175	NC_013967.1	98087	99214	-	1128	3903	756	4462	2342	2405	3327	692	1	161	2312	2458	2823	1727	1531	1502	3808	3834	2919	788	735	2855	185	9693	782
HVO_RS05180	NC_013967.1	99292	99930	-	639	405	70	506	206	219	219	62	0	15	136	124	218	716	561	418	342	280	223	62	65	180	14	924	48
HVO_RS05185	NC_013967.1	100055	100936	+	882	2184	599	2743	1485	1638	1928	468	1	122	1996	2075	2556	1820	1521	1413	2434	2829	2417	621	435	2030	158	6895	605
HVO_RS05190	NC_013967.1	100943	101548	+	606	1819	415	2227	1354	1450	1696	347	2	120	1757	1819	2206	1075	727	715	2314	2741	2020	398	420	1800	93	6006	511
HVO_RS05195	NC_013967.1	101807	102838	+	1032	4926	2388	6141	4517	4877	5654	1375	3	575	3169	3116	4611	27147	17549	17034	10376	6996	5417	1147	707	3863	160	17687	1535
HVO_RS05200	NC_013967.1	103089	104234	+	1146	503	324	608	582	588	1209	201	1	58	396	390	543	1164	810	750	950	658	559	141	169	721	32	2310	166
HVO_RS05205	NC_013967.1	104245	104658	+	414	384	112	427	316	326	546	96	1	30	352	297	384	466	356	369	766	495	419	115	60	356	24	1819	120
HVO_RS05210	NC_013967.1	104705	105133	-	429	5368	1511	6431	3096	3377	3857	1049	6	186	3676	3737	4538	8009	7008	6737	6216	4708	4231	1178	702	4599	465	16033	1213
HVO_RS05215	NC_013967.1	105206	105793	-	588	335	76	403	235	267	260	73	0	12	240	193	324	1091	756	543	465	434	291	80	71	301	15	1113	77
HVO_RS05220	NC_013967.1	105867	107141	-	1275	7699	1898	8988	5260	5443	6180	1702	3	457	4808	5259	7039	8197	6672	6066	8321	8661	7364	2107	902	5760	435	21787	1895
HVO_RS05225	NC_013967.1	107327	108373	+	1047	1706	661	2043	2062	2128	2284	402	1	115	1789	1740	3015	1155	881	1050	2641	2606	2194	409	490	1923	128	6666	702
HVO_RS05230	NC_013967.1	108419	108721	-	303	1638	380	1847	1320	1283	1456	292	0	102	2018	1898	2217	1377	1012	881	2581	2549	1947	437	331	1254	134	6234	443
HVO_RS05235	NC_013967.1	108722	109462	-	741	2354	596	2793	1866	2025	2210	497	2	184	3200	3121	3286	1872	1352	1484	3788	3713	3202	736	376	1762	194	9779	936
HVO_RS05240	NC_013967.1	109554	110171	+	618	122	82	176	332	309	331	122	0	24	544	489	653	195	176	139	272	696	824	41	43	132	18	698	141
HVO_RS05245	NC_013967.1	110198	110752	+	555	357	94	472	354	457	470	93	0	21	568	493	647	645	456	345	621	689	586	74	122	345	20	1099	99
HVO_RS05250	NC_013967.1	110903	111055	+	153	599	285	690	900	958	2099	325	2	75	2956	2330	2739	532	621	504	3639	3041	2543	136	159	1723	84	3092	618
HVO_RS05255	NC_013967.1	111059	111337	+	279	4293	3294	4946	9642	9997	10337	2840	5	823	15223	15397	14251	3175	2910	2867	21783	16565	15502	1557	675	5462	511	21958	5676
HVO_RS05260	NC_013967.1	111341	112006	+	666	8555	3755	10247	19258	20518	22517	3568	12	1716	31823	30477	32158	4865	3883	3713	38764	39622	29920	1728	2183	6849	534	41068	6472
HVO_RS05265	NC_013967.1	112088	112264	+	177	523	275	580	535	550	1239	176	0	51	1205	1143	1316	615	518	552	1009	1447	1121	128	164	672	37	1863	348
HVO_RS05270	NC_013967.1	112264	112734	+	471	4475	2625	5224	5156	5342	7100	1595	7	337	5982	6388	6701	4379	3477	3309	6434	7839	6561	1320	1030	5689	382	12985	2348
HVO_RS05275	NC_013967.1	112767	114137	+	1371	7058	2638	8251	8384	8779	11413	2400	3	531	12058	11396	13014	6947	5368	4996	8455	14572	12008	1695	2063	7655	523	23971	3311
HVO_RS05280	NC_013967.1	114180	114797	-	618	552	208	735	781	796	906	186	1	58	910	934	1174	691	607	500	1325	1348	995	115	160	645	36	2262	225
HVO_RS05285	NC_013967.1	114831	115805	-	975	876	230	982	681	687	829	171	0	30	554	528	849	1341	1123	808	586	904	769	173	191	871	21	1283	182
HVO_RS05290	NC_013967.1	115896	117293	+	1398	5307	3080	6402	6208	6630	6711	1824	3	510	6047	6402	7882	6807	5117	5133	9761	9770	8387	1806	1042	7293	555	18245	2778
HVO_RS05295	NC_013967.1	117403	117984	+	582	402	172	517	749	715	809	150	1	46	744	747	1018	428	294	299	1518	1162	956	103	101	386	34	1931	192
HVO_RS05300	NC_013967.1	117985	118545	+	561	222	65	270	159	151	182	24	0	23	214	172	235	133	92	113	281	290	234	51	35	150	13	582	46
HVO_RS05305	NC_013967.1	118620	119639	+	1020	1745	398	2085	1720	1791	2075	430	4	139	2592	2496	2981	1539	1184	1114	3346	3247	2795	401	314	1181	128	6106	603
HVO_RS05310	NC_013967.1	119674	120090	-	417	1084	289	1313	954	1019	931	248	0	67	1528	1442	1459	1362	915	936	1379	2009	1376	240	221	984	78	2400	395
HVO_RS05315	NC_013967.1	120093	120662	-	570	1195	295	1410	915	980	1050	278	0	49	1611	1605	1383	1558	1055	982	1302	1830	1567	302	235	1052	84	2322	444
HVO_RS05320	NC_013967.1	120802	121179	+	378	311	94	398	220	204	277	64	0	19	185	225	331	478	392	299	574	362	315	81	97	357	23	1372	56
HVO_RS05325	NC_013967.1	121223	121296	+	74	72	17	89	48	45	77	15	0	5	56	61	87	94	83	66	268	93	106	11	13	76	1	247	20
HVO_RS05330	NC_013967.1	121710	121985	+	276	350	78	426	287	307	459	68	0	13	294	274	437	501	398	330	428	619	530	72	113	364	14	840	77
HVO_RS05335	NC_013967.1	121969	122181	+	213	776	160	845	794	780	1036	140	0	30	622	526	1003	993	778	538	1285	1318	970	97	198	623	29	1644	171
HVO_RS05340	NC_013967.1	122368	122781	-	414	321	102	352	271	294	417	63	0	14	245	256	430	377	352	351	630	450	381	95	86	262	30	1184	70
