# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-B" "-s" "2" "-t" "gene" "-g" "locus_tag" "-a" "../00_genome/genomic.gff" "-o" "../HVO_counts/2021_counts3.txt" "aGTrmB_D_noglu_24_S42_sorted.bam" "deltadelta_a_glu_S16_sorted.bam" "deltadelta_a_noglu_S35_sorted.bam" "deltadelta_b_glu_S53_sorted.bam" "deltadelta_b_noglu_S36_sorted.bam" "deltadelta_c_glu_S43_sorted.bam" "deltadelta_d_glu_S44_sorted.bam" "deltadelta_d_noglu_S5_sorted.bam" "HVO_ref_RNA_S27_sorted.bam" "tbsP_a_glu_S33_sorted.bam" "tbsP_a_noglu_S24_sorted.bam" "tbsP_b_glu_S2_sorted.bam" "tbsP_b_noglu_S30_sorted.bam" "tbsP_c_glu_S51_sorted.bam" "tbsP_c_noglu_S15_sorted.bam" "tbsP_d_glu_S52_sorted.bam" "tbsP_d_noglu_S31_sorted.bam" "tbsP_e_glu_S3_sorted.bam" "tbsP_e_noglu_S50_sorted.bam" "trmB_a_glu_S4_sorted.bam" "trmB_a_noglu_S32_sorted.bam" "trmB_b_noglu_S25_sorted.bam" "trmB_c_glu_S34_sorted.bam" "trmB_c_noglu_S1_sorted.bam" "WT_a_glu_S39_sorted.bam" "WT_a_noglu_S37_sorted.bam" "WT_b_glu_S13_sorted.bam" "WT_b_noglu_S17_sorted.bam" "WT_c_glu_S18_sorted.bam" "WT_c_noglu_S6_sorted.bam" "WT_d_glu_S19_sorted.bam" "WT_d_noglu_s38_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	aGTrmB_D_noglu_24_S42_sorted.bam	deltadelta_a_glu_S16_sorted.bam	deltadelta_a_noglu_S35_sorted.bam	deltadelta_b_glu_S53_sorted.bam	deltadelta_b_noglu_S36_sorted.bam	deltadelta_c_glu_S43_sorted.bam	deltadelta_d_glu_S44_sorted.bam	deltadelta_d_noglu_S5_sorted.bam	HVO_ref_RNA_S27_sorted.bam	tbsP_a_glu_S33_sorted.bam	tbsP_a_noglu_S24_sorted.bam	tbsP_b_glu_S2_sorted.bam	tbsP_b_noglu_S30_sorted.bam	tbsP_c_glu_S51_sorted.bam	tbsP_c_noglu_S15_sorted.bam	tbsP_d_glu_S52_sorted.bam	tbsP_d_noglu_S31_sorted.bam	tbsP_e_glu_S3_sorted.bam	tbsP_e_noglu_S50_sorted.bam	trmB_a_glu_S4_sorted.bam	trmB_a_noglu_S32_sorted.bam	trmB_b_noglu_S25_sorted.bam	trmB_c_glu_S34_sorted.bam	trmB_c_noglu_S1_sorted.bam	WT_a_glu_S39_sorted.bam	WT_a_noglu_S37_sorted.bam	WT_b_glu_S13_sorted.bam	WT_b_noglu_S17_sorted.bam	WT_c_glu_S18_sorted.bam	WT_c_noglu_S6_sorted.bam	WT_d_glu_S19_sorted.bam	WT_d_noglu_s38_sorted.bam
HVO_RS04790	NC_013967.1	17030	17488	-	459	1058	2085	1322	1919	1107	1417	1470	853	4	2101	1575	1782	1585	1909	1157	2012	1354	2233	1717	2274	658	927	2157	855	2440	1183	2986	1530	2620	1482	3979	1466
HVO_RS04795	NC_013967.1	17615	18295	+	681	2944	6250	6062	6911	4474	4339	5013	4377	6	6576	5543	5932	5489	5802	4638	5851	5124	6160	5764	6358	4951	6624	6487	5578	6615	5044	5226	5560	5219	5128	10317	4918
HVO_RS04800	NC_013967.1	18323	19408	-	1086	4304	4222	3296	3952	2592	2665	3151	2936	1	4054	2911	3429	2929	2951	2502	3395	2689	4385	3122	4034	3974	6188	4173	4758	4032	3173	4997	3328	4063	3021	5967	2648
HVO_RS04805	NC_013967.1	19512	21233	-	1722	4620	3736	1269	3502	1282	2757	3341	1317	1	4084	2266	3202	2383	2496	1872	3037	2002	4470	2640	3557	1027	1728	4061	1020	4219	1908	3726	1968	3372	3322	5246	1683
HVO_RS04810	NC_013967.1	21243	22379	-	1137	2891	1192	516	1128	490	890	870	456	0	1312	646	994	588	1287	645	1074	444	1183	569	1179	843	776	1101	878	1051	813	1722	748	1008	668	1710	531
HVO_RS04815	NC_013967.1	22510	23400	+	891	137	198	234	166	190	96	124	175	0	110	165	140	213	204	178	172	188	155	220	153	166	345	255	183	277	241	461	246	262	188	503	174
HVO_RS04820	NC_013967.1	23410	24186	-	777	2328	6691	8064	4724	6286	3175	2794	6329	3	3826	5827	4044	5316	4495	6627	3328	5184	3969	5333	3846	6156	9185	5751	7412	6802	7143	4764	4868	6478	3325	11539	5217
HVO_RS04825	NC_013967.1	24438	25298	+	861	36283	19846	22167	19236	16794	15084	13663	16381	91	18532	18948	17225	19093	22023	28629	13551	18185	18972	15781	14799	39654	51356	21652	44534	23247	30369	11673	20616	22583	21195	35556	26536
HVO_RS04830	NC_013967.1	25352	26794	-	1443	802	399	905	362	1345	206	215	806	0	403	6845	351	7582	387	3631	364	5844	640	7220	394	430	763	989	715	1763	3297	921	3980	2757	3747	3964	3646
HVO_RS04835	NC_013967.1	26974	27573	+	600	3656	5034	4815	3316	3342	2874	3092	2885	2	3219	4325	3309	3976	3578	3847	2764	3797	4339	4147	4047	2510	4302	4144	3757	6184	5358	5205	4562	5246	4044	10104	4214
HVO_RS04840	NC_013967.1	27832	28101	-	270	2292	2732	3813	2301	3428	1478	1672	2960	2	2183	3857	2014	3654	2214	3623	1880	3044	3223	3456	2047	5949	7764	3447	7670	3823	5498	2822	4314	3957	3009	7696	4140
HVO_RS04845	NC_013967.1	28190	30286	+	2097	6037	9662	11987	10789	8719	6285	7873	8048	21	8315	8880	7969	8742	9009	7989	8701	9097	8972	10227	8909	5363	7531	11482	5655	12365	9932	12940	10327	9096	8345	18642	8551
HVO_RS04850	NC_013967.1	30293	30712	+	420	844	1536	1218	1573	1073	914	1182	963	1	1261	1310	1232	1343	1298	1101	1279	1356	1388	1448	1319	530	655	1677	530	1763	1334	1993	1436	1419	1242	3057	1233
HVO_RS04855	NC_013967.1	31121	32206	+	1086	992	1005	340	1240	329	960	1241	327	1	1355	489	1193	484	1339	501	1196	392	1191	452	1425	243	408	1218	272	1189	439	1356	300	878	946	1654	452
HVO_RS04860	NC_013967.1	32276	32716	+	441	355	339	338	356	284	277	300	259	0	358	289	295	278	421	255	372	317	381	329	398	380	471	397	404	520	388	710	327	401	269	780	328
HVO_RS04865	NC_013967.1	32744	33238	-	495	497	13055	5901	7770	5144	6895	6883	4786	3	5144	6754	6069	6033	7327	5084	7883	6397	1796	6763	8748	2857	4537	2334	3838	1697	1195	3940	965	1159	414	2404	728
HVO_RS04870	NC_013967.1	33689	34879	-	1191	4251	6560	14838	4539	14609	2752	3558	13493	3	3856	11698	4004	12758	3899	11750	4310	14587	4505	15055	4820	16176	31894	7927	21910	9664	17389	11227	17728	8653	6639	19187	11692
HVO_RS04875	NC_013967.1	34980	35174	+	195	279	788	1391	476	807	424	394	538	2	338	603	398	877	377	664	396	781	431	1222	371	481	669	646	612	1030	889	688	680	759	259	1875	389
HVO_RS04880	NC_013967.1	35225	35722	+	498	1834	4726	8570	3342	5091	2544	2516	4541	2	3269	4621	3370	5305	2594	4639	3018	4810	3766	5834	3601	4666	8274	5405	6132	5961	5048	5153	4646	5294	3808	11353	4034
HVO_RS04885	NC_013967.1	35776	37152	-	1377	1824	2215	1376	2040	1572	1215	1325	1232	3	1570	2018	1647	2283	2054	1807	1828	1744	1802	1999	1902	1199	2410	2578	1636	2830	1889	3290	1513	2479	1421	5187	1564
HVO_RS04890	NC_013967.1	37234	39438	-	2205	13246	14284	12766	14097	10812	8782	10876	11556	8	13309	12717	11960	13117	13691	10616	13214	12918	14007	14469	14153	14054	23274	14301	18687	17026	14905	18509	15703	15483	12009	26470	12117
HVO_RS04895	NC_013967.1	39586	40056	+	471	92	73	135	60	96	49	58	88	0	76	107	56	126	42	101	65	124	104	98	76	184	273	123	333	133	316	163	297	149	128	284	204
HVO_RS04900	NC_013967.1	40093	40992	-	900	4960	25473	14423	37853	20452	20547	28343	18953	7	38382	20982	30636	21705	40967	20969	33606	23457	2618	25019	32235	860	1349	2809	787	2698	2057	4511	1503	1963	1921	3663	1630
HVO_RS04905	NC_013967.1	41076	42221	-	1146	6512	33070	21124	47555	27443	27683	37436	25850	14	49286	29798	39002	30953	52344	29473	43851	31624	3095	35688	40329	1320	2624	3486	1232	3498	2913	5751	1963	2351	2499	4386	2015
HVO_RS04910	NC_013967.1	42218	43354	-	1137	8118	45410	28781	63676	35275	39987	51524	33586	11	64257	39587	52929	40925	71707	38653	59780	41728	4308	47924	56574	1862	3030	4426	1785	4962	3852	7985	2752	3277	3665	5969	2732
HVO_RS04915	NC_013967.1	43351	44334	-	984	5955	36509	23917	46109	28291	35290	45430	27405	3	52728	34847	43939	32025	56733	31679	46540	34090	3641	37395	49560	1761	2712	3496	1721	4442	3404	6225	2218	2796	3456	5064	2467
HVO_RS04920	NC_013967.1	44389	45432	-	1044	9134	70634	64141	86029	58722	71356	83361	61586	21	93836	67336	76902	64753	100465	63179	86182	67214	6976	73878	87484	3407	4169	7117	3005	8308	6569	12209	4735	5580	6757	9518	4501
HVO_RS04925	NC_013967.1	45429	46304	-	876	8570	100440	79006	105601	76231	94632	104577	80974	48	115447	87225	99002	78986	119923	75906	111111	84706	9071	90613	120155	6496	7610	9457	5472	11144	9294	17426	6119	8074	7759	13399	6229
HVO_RS04930	NC_013967.1	46306	46485	-	180	2274	26142	14580	23979	14765	24956	23478	11939	9	24420	13686	18405	18929	27136	13945	22303	15567	2826	19563	16255	1275	1046	2844	1141	3671	2789	5189	2308	2515	1636	4660	1474
HVO_RS04935	NC_013967.1	46806	48272	-	1467	20974	61433	81547	61424	52930	48880	57645	60695	21	64092	76580	63803	69444	77271	76947	67225	80465	38707	83199	76052	39315	50634	36199	39645	51462	65079	61267	53219	38830	32608	74708	42987
HVO_RS04940	NC_013967.1	48274	49491	-	1218	18083	64851	83215	73938	62393	53033	64767	63841	26	71351	74765	66586	72006	82549	73343	76566	83915	43815	88066	78644	38066	52358	49301	40588	57821	61207	64211	55025	42964	34019	79262	44815
HVO_RS04945	NC_013967.1	49976	51190	-	1215	852	1861	2886	1626	2735	929	1209	2408	0	1427	2600	1426	2553	1775	2621	1649	2250	1664	2772	1565	2182	3579	2305	2568	2291	2768	3338	2449	2321	1731	4833	1927
HVO_RS04950	NC_013967.1	51190	51675	-	486	1044	1593	1644	1434	1658	798	961	1449	2	1153	1468	1098	1581	1332	1513	1358	1519	1344	1606	1300	1633	2587	1595	2152	1764	1864	2282	1581	1538	1196	3505	1299
HVO_RS04955	NC_013967.1	51719	52321	-	603	6456	4228	1540	3346	1303	2454	2787	1435	2	3379	2629	3424	2471	3237	2067	3231	1795	4568	2401	4219	1014	1583	3407	1319	3895	2390	4893	2600	4243	2881	6752	2372
HVO_RS04960	NC_013967.1	52328	54112	-	1785	34582	25775	13731	26918	11909	19064	20955	12673	12	27125	17610	24088	17349	22704	13681	26516	16428	31722	18236	29094	9342	13447	27815	10590	27546	15015	33385	17490	25657	21641	39556	17639
HVO_RS04965	NC_013967.1	54105	54959	-	855	15576	14996	6981	14958	6289	10822	12057	6076	8	14647	9287	12785	9292	12538	6593	14041	8537	16824	9491	15407	4494	6690	15258	5721	14989	8044	17977	9346	13964	10968	21745	8850
HVO_RS04970	NC_013967.1	55092	55670	-	579	4577	5729	2596	4787	2278	3349	3871	2184	7	4075	3657	3911	4048	4215	2528	4615	3687	5110	3944	5189	2229	2844	5794	2605	6134	3507	7974	3775	5771	3000	9478	3340
HVO_RS04975	NC_013967.1	55732	56178	-	447	6645	2704	649	3908	960	2336	3603	773	1	3238	3501	2734	4304	3984	2588	3356	3563	4809	3854	3229	298	336	4473	274	4819	3366	4819	3678	4112	5002	7832	4444
HVO_RS04980	NC_013967.1	56181	57515	-	1335	30324	13027	4028	18754	4832	11103	16209	3935	4	16789	17478	13124	20307	17900	13281	16695	17114	23755	19092	15700	1268	1751	21393	1352	23892	14352	18205	17992	20799	25312	36883	19048
HVO_RS04985	NC_013967.1	57512	58591	-	1080	23319	11496	3679	16078	4337	10212	14343	3656	10	14280	15214	11379	17328	15330	11768	14189	14741	20216	16377	13848	1344	1729	19245	1425	20735	12546	15659	14634	17496	20995	32109	15741
HVO_RS04990	NC_013967.1	58588	60027	-	1440	28963	18243	5141	25289	6433	15607	21671	5069	10	21467	24451	18230	27248	23330	16505	21626	21910	31540	23914	21509	2114	2575	32431	2316	31218	17152	24771	21197	28517	29947	51820	23051
HVO_RS04995	NC_013967.1	60034	61083	-	1050	15102	15195	3949	18163	4228	13082	15815	3091	6	14828	18114	13073	19205	16714	11315	15967	14480	23123	16426	16056	1692	1696	26114	1798	24435	11122	19325	13915	23815	18735	41095	14923
HVO_RS05000	NC_013967.1	61296	63134	-	1839	172008	110283	98175	106962	76967	91490	84976	60242	67	73121	243391	72402	222964	71912	145013	85001	165896	121152	199257	85499	27435	26859	167724	21617	198217	143637	47982	143828	145302	160103	314276	153470
HVO_RS20790	NC_013967.1	63370	63537	+	168	1921	1407	1368	912	813	1018	776	658	1	499	1203	662	1218	961	1175	998	1336	712	1490	968	730	689	1117	817	2122	2159	2050	1766	1583	385	2973	808
HVO_RS05005	NC_013967.1	63622	64041	+	420	2179	4017	3898	3508	2598	2699	2765	2384	2	2965	3759	2825	3768	3196	3089	3264	3397	3355	3776	3390	3619	5487	4269	4997	4785	3762	5769	3952	4554	3272	7824	3168
HVO_RS05010	NC_013967.1	64044	67652	+	3609	12092	15536	14610	17358	13740	10990	14018	14774	7	17282	18970	14638	19236	13867	14804	14117	18040	16065	20480	14616	11031	20760	17158	14075	20160	16441	18544	18133	15172	19848	29014	16060
HVO_RS05015	NC_013967.1	67810	69072	-	1263	158	292	242	229	200	145	208	233	0	178	228	199	287	247	217	225	238	272	267	240	230	422	311	339	316	340	474	469	370	392	604	429
HVO_RS05020	NC_013967.1	69249	69536	+	288	2112	1780	2880	1270	3037	819	993	2970	1	1405	2631	1209	2741	1020	1841	1006	2720	1611	3005	1269	2350	3389	1745	3373	2014	3218	1955	3637	2293	1842	4229	2212
HVO_RS05025	NC_013967.1	69607	70503	+	897	519	1057	1499	795	1231	538	640	1289	0	879	1262	790	1260	700	1019	690	1178	929	1283	887	1348	2233	996	1621	1000	1283	1386	1257	1127	781	2026	1040
HVO_RS05030	NC_013967.1	70535	72082	-	1548	6770	16368	12489	16255	9411	12539	14049	9183	4	14336	11494	13642	11217	14035	9098	14997	10856	17393	12138	16286	9955	13408	17877	12033	18775	13118	23567	12699	15125	10707	26817	10781
HVO_RS05035	NC_013967.1	72161	72538	-	378	15349	21239	26048	19808	22935	14251	15287	19865	8	18130	22755	17126	23502	16623	20597	15399	22186	23329	22796	17819	30300	34648	24712	34957	24706	28858	18585	27471	24170	18834	46814	26771
HVO_RS05040	NC_013967.1	72583	72900	-	318	1510	1717	2190	1885	1456	1497	1576	1291	2	2062	1479	1643	1691	1662	1463	1547	1450	2233	1650	1762	1938	1816	1830	1992	2120	1994	1840	2051	2195	1541	3256	1618
HVO_RS05045	NC_013967.1	73059	73280	-	222	317	248	424	161	316	130	122	303	0	150	628	149	844	208	490	128	788	190	757	154	247	386	301	477	346	1153	466	1253	461	389	951	628
HVO_RS05050	NC_013967.1	73836	74666	+	831	342	567	885	410	837	259	324	677	0	403	1181	326	1105	360	730	302	1127	633	1096	385	466	715	960	779	1227	958	780	983	1148	554	2374	690
HVO_RS05055	NC_013967.1	74663	76093	-	1431	2463	3621	2005	3616	1690	2470	2737	1825	13	2920	2427	2960	2304	3323	1945	3512	2244	3319	2528	3582	1797	2838	3263	1905	3605	2302	5291	2266	3183	2218	5512	1913
HVO_RS05060	NC_013967.1	76230	77447	-	1218	3863	4560	2130	4070	1783	2928	3105	2236	1	3466	2688	3562	2454	4424	2519	4176	2456	3406	2867	4483	2025	3232	3031	2066	3450	2791	5781	2732	2946	1958	5255	2290
HVO_RS05065	NC_013967.1	77449	78192	-	744	4996	5742	3970	5214	2643	3823	3733	2779	0	4400	3386	4338	3300	4713	3261	4675	3019	4550	3480	4959	3288	5386	4046	3414	4173	3306	5697	3101	3882	2900	6577	3175
HVO_RS05070	NC_013967.1	78189	79070	-	882	7358	8682	5094	8722	4319	5994	6187	4783	1	6901	5591	6787	5137	7430	4773	7615	4818	7185	5475	8043	4905	8902	6690	5559	6824	5201	9120	5017	6107	4573	10280	4643
HVO_RS05075	NC_013967.1	79072	80145	-	1074	8299	11766	7195	11351	5712	8114	8696	5927	10	9429	6817	8913	6202	9667	5849	10158	6121	9385	6755	10587	6250	10550	9284	7264	9736	6539	11173	7150	8318	5750	13554	5675
HVO_RS05080	NC_013967.1	80270	80659	+	390	406	383	383	403	289	344	359	273	0	445	500	370	514	346	374	354	383	490	518	418	314	551	500	324	588	460	492	538	496	493	961	420
HVO_RS05085	NC_013967.1	80783	80968	+	186	203	360	352	298	259	310	336	246	1	267	339	260	381	272	322	240	323	324	360	269	387	410	483	345	507	616	528	440	414	428	964	355
HVO_RS05090	NC_013967.1	81002	82339	-	1338	6408	7587	9676	8115	8597	5207	6116	8217	10	6875	8874	6678	8320	7844	8428	7285	8931	7629	9198	7373	6307	10753	8372	8902	9256	10658	8221	10905	8415	7045	15707	8784
HVO_RS05095	NC_013967.1	82482	83189	-	708	1790	2720	1756	2373	1596	1694	1866	1459	0	2000	2203	2198	2282	2587	1853	2656	2051	2272	2253	2699	1532	2295	2674	1757	2813	2273	5532	2226	2960	1889	5219	2037
HVO_RS21255	NC_013967.1	83382	83753	-	372	1690	2616	5364	1859	3711	1295	1585	3403	1	1789	4296	1710	4922	1940	4216	1754	4494	2365	4724	1997	2401	3433	3035	3418	3935	5116	3970	4776	3717	3262	7499	4493
HVO_RS05105	NC_013967.1	83757	85127	-	1371	446	2780	8742	1428	4229	1041	1179	3986	5	664	4804	948	5759	1351	6510	1432	5576	978	5878	1350	2588	3782	2846	3112	4654	6248	3956	2713	2691	1465	8337	2535
HVO_RS05110	NC_013967.1	85507	85866	-	360	348	710	1795	625	633	434	515	756	2	825	1200	613	1344	643	1110	513	900	1069	1041	586	1443	1767	1068	1887	1272	1661	1053	769	1242	857	2196	881
HVO_RS05115	NC_013967.1	85863	87281	-	1419	1372	2805	7999	2356	3053	1539	1710	3117	0	3116	4589	2200	4519	2491	4164	2117	3162	3963	3640	2505	5858	7783	4554	8052	4753	5643	4201	2635	4573	3028	7688	3207
HVO_RS05120	NC_013967.1	87625	88608	-	984	3596	6719	6543	5654	5341	4066	4332	4570	17	4404	5382	4612	5100	6270	5363	5063	4700	4927	5016	5510	4749	7682	6884	6332	7487	7017	13273	5273	6360	3797	13568	4806
HVO_RS20795	NC_013967.1	89307	89471	-	165	1660	3759	4453	2749	3431	2713	2680	2557	1	1855	2737	2216	3192	3108	3215	2417	2820	2478	3092	2592	2456	3988	3861	3500	5474	5822	6255	3545	3203	2464	7862	2001
HVO_RS05130	NC_013967.1	89547	90341	-	795	1251	2759	5553	2223	3770	1558	1714	3770	1	2182	2926	2072	2873	2564	3274	2219	2759	2099	3037	2439	4737	6817	2470	5872	2899	4011	4082	3381	2700	1783	4824	2602
HVO_RS05135	NC_013967.1	90474	90758	+	285	321	63	6509	66	4755	46	53	4913	1	68	1845	87	1946	91	3130	92	2592	151	2082	91	6551	7918	231	7480	289	8807	173	5302	487	2691	799	4608
HVO_RS05140	NC_013967.1	90921	91928	-	1008	7501	6296	6372	5114	4577	4471	4836	4916	5	5471	4923	4899	4558	4905	4423	5070	4137	6552	4465	6274	6586	9515	6788	8344	8194	6354	10902	5138	6801	5788	11563	4832
HVO_RS20800	NC_013967.1	92094	92270	+	177	75	192	936	60	576	45	49	378	0	41	1296	39	1520	59	1570	64	2706	71	2517	71	204	227	292	261	1144	2668	354	2860	584	126	2027	707
HVO_RS05145	NC_013967.1	92298	92993	-	696	645	848	926	660	1101	397	527	859	0	557	1194	513	1169	687	875	587	873	710	1021	605	737	1754	1160	1182	1219	1171	1588	929	1251	612	2618	798
HVO_RS05150	NC_013967.1	93097	94029	-	933	311	621	1372	420	1106	218	326	907	0	287	1002	351	1172	437	1158	383	1230	386	1242	411	1062	2239	769	1547	808	1712	1489	1319	815	478	1946	852
HVO_RS05155	NC_013967.1	94154	95038	-	885	2559	3131	5553	1849	3541	1158	1670	3947	1	1630	3735	1792	3557	1811	4227	1606	2744	2384	3294	1990	6838	12333	2890	10243	3481	4680	4069	3733	3605	2599	7381	3175
HVO_RS05160	NC_013967.1	95156	95359	+	204	2439	1704	1410	1254	806	1021	1200	613	1	1337	1073	1117	1495	1097	1117	1167	930	1621	1208	992	1242	1182	1575	1182	1697	1371	1814	1269	1805	954	2856	931
HVO_RS05165	NC_013967.1	95441	97351	+	1911	8978	19092	21071	17703	15171	11737	13662	16874	8	17701	18047	16088	17110	16737	15620	17158	18821	19657	19898	19586	25338	30354	18719	27759	20665	21499	26406	24599	20913	16703	35625	19182
